StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,1_B1,1_P1,1_S2,2_B1,2_P1,2_S2,3_B1,3_P1,3_S2,4_B1,4_P1,4_S2,5_B1,5_P1,5_S2,6_B1,6_P1,6_S2,7_B1,7_P1,7_S2,8_B1,8_P1,8_S2,9_B1,9_P1,9_S2,10_B1,10_P1,10_S2,11_B1,11_P1,11_S2,12_B1,12_P1,12_S2,13_B1,13_P1,13_S2,14_B1,14_P1,14_S2,15_B1,15_P1,15_S2,16_B1,16_P1,16_S2,17_B1,17_P1,17_S2,18_B1,18_P1,18_S2,19_B1,19_P1,19_S2,20_B1,20_P1,20_S2,check_77,lotr_1,lotr_2,lotr_3,lotr_4,lotr_5,lotr_6,lotr_7,lotr_8,lotr_9,lotr_10,age,gender,marital
2021-12-14T11:46:47Z,2021-12-14T11:51:15Z,IP Address,100,268,TRUE,2021-12-14T11:51:16Z,R_DD0vHz3bTdnGamR,anonymous,EN,I consent to participate in this study.,45,10,30,15,5,15,10,2,2,10,5,5,15,1,1,25,10,10,15,10,20,50,2,2,25,15,25,30,10,1,40,100,100,3,5,10,40,80,70,5,1,1,2,2,10,2,2,1,15,100,100,15,70,75,30,75,15,50,50,25,77,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,44,Man,Married
2021-12-14T11:47:15Z,2021-12-14T11:51:55Z,IP Address,100,279,TRUE,2021-12-14T11:51:55Z,R_ukrxWV41E8q4Pvz,anonymous,EN,I consent to participate in this study.,30,30,60,55,50,50,5,3,15,30,30,15,15,15,15,5,5,15,15,10,20,20,15,15,25,25,40,10,5,3,15,15,65,3,3,5,40,10,15,40,40,10,75,85,70,4,2,1,50,30,35,60,50,15,25,15,5,40,50,25,77,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,22,Woman,Never married
2021-12-14T11:47:16Z,2021-12-14T11:52:43Z,IP Address,100,327,TRUE,2021-12-14T11:52:44Z,R_3p3bx30Dz2BOp6Q,anonymous,EN,I consent to participate in this study.,30,30,75,70,80,40,35,30,30,30,30,18,5,5,15,1,1,20,20,20,40,50,40,50,10,10,50,5,5,3,50,50,80,2,2,10,40,50,50,1,1,1,20,50,50,1,1,1,40,60,65,20,20,20,10,10,9,75,75,20,77,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,24,Woman,Married
2021-12-14T11:46:57Z,2021-12-14T11:53:00Z,IP Address,100,362,TRUE,2021-12-14T11:53:00Z,R_2sTEX533KD8DuEr,anonymous,EN,I consent to participate in this study.,2,1,10,50,50,40,10,8,20,45,40,18,2,2,15,1,1,1,20,20,25,25,21,40,20,20,65,10,10,3,75,80,80,8,8,11,50,50,50,5,2,2,30,25,25,1,1,1,15,10,50,15,12,15,4,5,5,50,80,60,77,Neutral,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,33,Man,Never married
2021-12-14T11:47:03Z,2021-12-14T11:53:10Z,IP Address,100,367,TRUE,2021-12-14T11:53:10Z,R_31tP3QyzSSgb7PI,anonymous,EN,I consent to participate in this study.,60,100,100,60,40,40,60,10,5,70,80,50,10,10,10,60,100,100,30,20,60,60,100,100,10,5,20,60,80,30,40,100,100,30,10,5,10,5,5,10,50,50,20,5,5,5,1,1,20,0,0,10,0,0,5,0,0,5,20,20,77,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,42,Woman,Divorced
2021-12-14T11:48:08Z,2021-12-14T11:53:14Z,IP Address,100,306,TRUE,2021-12-14T11:53:14Z,R_3EOpOWJgbEVEWmB,anonymous,EN,I consent to participate in this study.,15,15,76,50,50,41,25,25,30,20,20,18,25,25,17,10,10,26,10,10,40,50,50,45,25,25,65,15,30,6,50,25,40,10,10,10,40,65,65,20,15,2,50,40,15,2,2,1,60,60,60,40,40,20,10,10,9,25,30,27,77,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,27,Woman,Never married
2021-12-14T11:46:19Z,2021-12-14T11:53:43Z,IP Address,100,444,TRUE,2021-12-14T11:53:43Z,R_2D6A2K1xLG7ayxd,anonymous,EN,I consent to participate in this study.,30,20,50,40,35,35,30,15,25,20,15,15,30,30,15,35,30,20,66,70,60,55,55,50,55,50,60,35,30,2,45,45,70,15,15,10,40,70,65,10,1,1,25,20,20,1,1,1,60,65,65,40,50,25,1,1,5,1,5,20,77,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,31,Woman,Never married
2021-12-14T11:46:14Z,2021-12-14T11:53:50Z,IP Address,100,455,TRUE,2021-12-14T11:53:50Z,R_2c1Td9BevkBGgjB,anonymous,EN,I consent to participate in this study.,35,30,50,50,50,40,60,60,25,25,20,15,50,50,25,5,5,5,70,70,20,48,10,15,30,10,30,45,30,10,15,100,100,70,70,15,30,0,40,0,0,0,25,50,30,1,0,1,100,100,100,25,100,100,25,80,80,0,0,20,77,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,39,Woman,Married
2021-12-14T11:46:30Z,2021-12-14T11:53:54Z,IP Address,100,443,TRUE,2021-12-14T11:53:54Z,R_1M4HaYfNvjDMBYy,anonymous,EN,I consent to participate in this study.,20,0,0,15,15,20,10,7,15,15,20,15,10,15,14,15,20,20,35,30,30,50,0,0,30,30,40,35,30,10,25,5,10,5,15,9,45,35,35,3,0,0,40,15,15,10,10,2,30,0,0,1,0,0,1,0,0,30,30,19,77,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Somewhat agree,36,Man,Never married
2021-12-14T11:47:16Z,2021-12-14T11:54:06Z,IP Address,100,409,TRUE,2021-12-14T11:54:06Z,R_wRVWBQpcPyfbOmZ,anonymous,EN,I consent to participate in this study.,95,95,80,5,1,5,5,2,10,5,2,2,10,1,10,50,95,26,5,2,2,15,2,10,5,5,45,5,2,2,80,90,90,20,60,20,20,60,60,2,5,5,60,1,22,15,25,5,50,90,90,40,55,20,1,1,9,50,99,90,75,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,54,Woman,Other
2021-12-14T11:46:40Z,2021-12-14T11:54:07Z,IP Address,100,446,TRUE,2021-12-14T11:54:07Z,R_1E74nAzVhsddT0m,anonymous,EN,I consent to participate in this study.,25,25,80,69,78,67,65,75,40,30,30,30,45,65,26,65,78,50,85,80,50,45,10,5,60,90,100,40,50,10,59,100,100,40,30,9,45,0,0,15,0,0,49,0,0,10,0,0,48,100,100,10,0,0,5,0,0,20,0,0,77,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Somewhat agree,Strongly disagree,Neutral,Strongly disagree,29,Woman,Married
2021-12-14T11:46:21Z,2021-12-14T11:54:10Z,IP Address,100,469,TRUE,2021-12-14T11:54:11Z,R_AsSfkkmMzeiOVcl,anonymous,EN,I consent to participate in this study.,15,0,50,5,10,40,40,60,30,5,1,5,20,40,20,3,0,10,10,5,25,50,0,0,50,100,100,60,50,1,15,0,0,35,50,30,50,90,90,50,0,1,10,0,0,1,5,5,40,100,100,40,30,10,2,30,2,5,0,20,77,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Neutral,56,Man,Married
2021-12-14T11:46:39Z,2021-12-14T11:54:18Z,IP Address,100,458,TRUE,2021-12-14T11:54:18Z,R_3Mg1Td8LLXETFQW,anonymous,EN,I consent to participate in this study.,15,10,20,60,70,50,35,45,35,35,30,25,40,30,20,10,5,10,25,20,40,25,0,0,35,30,55,30,25,10,40,80,80,15,10,8,40,30,30,5,1,1,60,70,50,2,0,0,40,0,0,40,70,70,20,10,7,40,30,25,77,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,40,Man,Married
2021-12-14T11:49:55Z,2021-12-14T11:54:24Z,IP Address,100,268,TRUE,2021-12-14T11:54:24Z,R_3HNCv9g1ReXWdbe,anonymous,EN,I consent to participate in this study.,25,25,75,25,25,35,10,10,30,35,25,18,10,5,15,10,10,20,35,30,40,35,35,45,5,5,50,20,10,3,85,40,40,20,20,10,50,75,80,1,1,1,10,2,5,5,5,1,50,50,60,25,35,15,20,5,4,50,50,25,77,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,27,Man,Never married
2021-12-14T11:48:48Z,2021-12-14T11:54:52Z,IP Address,100,363,TRUE,2021-12-14T11:54:52Z,R_3nc4A2SFawsXMdL,anonymous,EN,I consent to participate in this study.,50,35,45,50,60,50,45,50,45,15,25,25,35,45,20,25,5,5,33,60,60,45,25,25,5,15,70,65,30,5,50,85,95,10,2,3,30,90,90,15,40,15,30,65,50,3,1,1,75,100,96,50,100,86,1,15,15,40,90,65,77,Neutral,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,28,Man,Never married
2021-12-14T11:46:13Z,2021-12-14T11:54:56Z,IP Address,100,523,TRUE,2021-12-14T11:54:56Z,R_3jZ1AO4oFu1EO6T,anonymous,EN,I consent to participate in this study.,48,35,45,55,20,25,22,18,18,14,8,8,19,14,12,6,3,8,17,15,22,58,2,2,12,8,45,8,6,2,72,100,100,7,5,10,20,8,25,3,1,1,30,100,100,1,5,3,42,100,100,35,92,92,7,5,5,8,5,10,77,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,44,Man,Married
2021-12-14T11:46:19Z,2021-12-14T11:54:57Z,IP Address,100,517,TRUE,2021-12-14T11:54:57Z,R_PuCroEyZMjaujm1,anonymous,EN,I consent to participate in this study.,20,20,40,75,80,60,45,55,45,42,45,18,10,10,17,5,5,10,40,40,40,40,5,5,5,5,65,5,5,3,60,60,65,15,15,8,45,30,40,5,1,1,25,25,25,2,2,1,20,10,10,20,5,5,1,1,1,50,60,50,77,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,32,Man,Never married
2021-12-14T11:48:22Z,2021-12-14T11:55:01Z,IP Address,100,399,TRUE,2021-12-14T11:55:02Z,R_3qlH3eITSCiBnMI,anonymous,EN,I consent to participate in this study.,15,15,15,50,85,90,1,1,33,85,95,95,15,15,15,1,1,5,25,25,10,60,56,56,15,2,65,15,1,3,75,60,60,15,1,1,65,85,58,20,20,50,35,60,45,0,0,1,45,50,45,20,30,20,15,5,5,35,80,45,50,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,24,Man,Never married
2021-12-14T11:47:45Z,2021-12-14T11:55:30Z,IP Address,100,465,TRUE,2021-12-14T11:55:31Z,R_PN8lN3yDkDSnEPL,anonymous,EN,I consent to participate in this study.,40,0,0,30,90,95,20,20,31,65,100,100,25,50,40,40,40,26,15,60,75,60,0,0,40,40,65,3,3,3,25,99,99,2,0,0,20,0,0,2,0,0,45,0,0,2,0,0,40,0,0,15,0,0,10,0,0,20,20,23,77,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,24,Woman,Never married
2021-12-14T11:46:00Z,2021-12-14T11:55:49Z,IP Address,100,588,TRUE,2021-12-14T11:55:49Z,R_3QF8hKl8ScjYy0l,anonymous,EN,I consent to participate in this study.,35,20,65,15,15,30,20,15,15,35,20,15,40,30,20,35,40,20,40,40,40,45,0,0,20,15,20,25,20,1,65,80,90,65,70,3,35,50,50,30,10,1,50,55,40,5,1,0,35,100,100,30,25,12,50,50,7,10,5,3,77,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,34,Woman,Married
2021-12-14T11:49:31Z,2021-12-14T11:55:53Z,IP Address,100,382,TRUE,2021-12-14T11:55:53Z,R_3MlIRf2qY3iK85l,anonymous,EN,I consent to participate in this study.,10,15,50,25,85,75,45,45,35,30,40,35,25,35,20,12,1,10,45,45,45,65,0,0,30,30,50,42,35,1,35,95,95,20,0,0,35,0,0,1,1,1,25,35,25,2,0,0,45,0,0,20,20,20,13,0,0,20,15,15,77,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,59,Woman,Divorced
2021-12-14T11:49:14Z,2021-12-14T11:56:12Z,IP Address,100,418,TRUE,2021-12-14T11:56:12Z,R_1DHnTZSJJiEoHOu,anonymous,EN,I consent to participate in this study.,25,20,20,30,25,30,5,2,5,15,20,16,33,40,8,25,10,12,15,15,20,50,15,15,5,3,10,5,5,2,30,5,33,5,3,5,35,20,25,5,2,2,30,25,20,10,5,1,25,30,35,40,33,25,5,2,4,50,33,10,77,Strongly disagree,Strongly disagree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,28,Man,Never married
2021-12-14T11:47:18Z,2021-12-14T11:56:33Z,IP Address,100,554,TRUE,2021-12-14T11:56:34Z,R_2qyKa3jBBGNILXy,anonymous,EN,I consent to participate in this study.,40,38,60,77,71,50,25,25,31,39,47,20,11,11,17,18,15,20,20,21,35,49,12,10,40,40,65,76,100,100,50,9,8,12,12,11,41,35,40,10,6,1,15,5,5,4,2,1,50,90,90,29,5,5,7,0,0,34,55,25,77,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,55,Woman,Married
2021-12-14T11:46:18Z,2021-12-14T11:56:35Z,IP Address,100,617,TRUE,2021-12-14T11:56:36Z,R_1poOjB5k6todS0R,anonymous,EN,I consent to participate in this study.,25,25,50,55,40,40,3,3,10,60,40,18,7,7,10,4,4,10,17,17,20,55,0,0,15,15,25,15,10,3,65,95,95,25,25,20,30,95,95,2,2,2,20,20,22,6,10,5,60,100,100,80,80,80,8,5,5,85,50,25,77,Neutral,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,42,Woman,Married
2021-12-14T11:46:54Z,2021-12-14T11:56:38Z,IP Address,100,583,TRUE,2021-12-14T11:56:38Z,R_1DuRQDEzoedfEu9,anonymous,EN,I consent to participate in this study.,22,100,100,80,100,100,40,35,27,70,80,70,8,5,12,30,25,20,65,70,55,50,0,0,50,65,75,12,15,8,40,15,15,12,8,1,25,80,90,6,1,1,18,10,8,2,0,0,30,0,0,20,0,0,5,0,0,20,12,18,77,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,39,Man,Never married
2021-12-14T11:46:22Z,2021-12-14T11:56:50Z,IP Address,100,627,TRUE,2021-12-14T11:56:50Z,R_2xLbgfkxqOOFMUl,anonymous,EN,I consent to participate in this study.,45,45,76,40,40,41,15,15,31,35,35,18,10,10,17,10,10,26,35,35,40,45,0,0,20,20,65,25,25,3,45,100,100,10,10,11,60,60,58,20,100,100,15,15,15,2,2,1,65,100,100,40,20,16,30,2,2,2,2,23,77,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,67,Man,Married
2021-12-14T11:48:10Z,2021-12-14T11:56:53Z,IP Address,100,522,TRUE,2021-12-14T11:56:53Z,R_2EHujP9KXsyefFK,anonymous,EN,I consent to participate in this study.,15,5,20,68,56,40,28,15,10,56,85,10,15,10,5,4,1,15,10,5,20,65,50,40,32,15,25,35,10,1,5,2,10,50,45,1,20,15,45,5,0,0,50,1,1,5,2,1,75,80,50,15,2,1,1,0,0,70,55,30,77,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,41,Woman,Prefer not to say
2021-12-14T11:52:20Z,2021-12-14T11:56:59Z,IP Address,100,278,TRUE,2021-12-14T11:56:59Z,R_2zTlgNx7BqKRxYN,anonymous,EN,I consent to participate in this study.,5,5,10,40,40,40,10,10,10,10,10,10,5,5,5,5,5,7,10,10,15,20,10,15,5,5,7,10,5,3,50,75,80,10,10,10,40,30,40,15,30,20,25,20,25,1,1,1,15,20,35,40,50,40,25,30,25,50,50,40,77,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,Neutral,31,Man,Never married
2021-12-14T11:49:50Z,2021-12-14T11:57:00Z,IP Address,100,429,TRUE,2021-12-14T11:57:00Z,R_3dRhExZJEnHBgmE,anonymous,EN,I consent to participate in this study.,30,40,70,69,90,80,20,30,40,23,75,75,25,35,30,15,10,5,45,50,50,68,0,0,18,80,80,34,45,20,25,0,10,10,0,0,28,5,5,5,0,0,30,0,0,5,0,0,40,0,0,20,0,0,8,0,0,20,35,35,77,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,47,Woman,Never married
2021-12-14T11:51:30Z,2021-12-14T11:57:00Z,IP Address,100,330,TRUE,2021-12-14T11:57:00Z,R_2scqqjJXKfoRh3M,anonymous,EN,I consent to participate in this study.,2,4,76,7,2,41,3,10,31,2,2,18,2,3,17,2,3,26,20,1,40,3,5,45,3,2,65,20,10,3,3,2,82,2,3,11,3,2,58,2,10,3,20,1,22,30,20,1,5,4,61,3,2,16,1,2,9,3,4,23,77,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Neutral,29,Man,Never married
2021-12-14T11:49:02Z,2021-12-14T11:57:02Z,IP Address,100,479,TRUE,2021-12-14T11:57:03Z,R_2fm6Nq2rz35RUDz,anonymous,EN,I consent to participate in this study.,5,1,5,25,1,1,12,0,0,20,1,1,1,0,0,10,1,1,20,0,0,45,0,0,50,0,0,18,0,0,40,15,15,4,4,15,20,10,15,60,100,100,55,1,1,1,1,1,70,1,1,22,3,3,2,1,2,70,95,95,77,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,63,Woman,Never married
2021-12-14T11:47:17Z,2021-12-14T11:57:04Z,IP Address,100,586,TRUE,2021-12-14T11:57:04Z,R_1gBeHf8ZSZzhEZQ,anonymous,EN,I consent to participate in this study.,10,5,35,55,65,55,25,35,35,25,30,25,20,25,25,7,5,15,25,20,40,40,100,100,15,10,50,6,3,3,70,100,100,20,10,5,40,70,70,15,5,2,40,35,20,3,3,1,65,70,75,40,10,10,10,5,5,60,65,30,77,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,56,Man,Divorced
2021-12-14T11:50:57Z,2021-12-14T11:57:14Z,IP Address,100,376,TRUE,2021-12-14T11:57:14Z,R_1BQaQCfaLy4HE2D,anonymous,EN,I consent to participate in this study.,20,20,75,30,35,41,10,10,25,20,20,16,30,30,17,7,5,20,30,30,40,20,15,15,10,10,65,20,20,2,60,60,82,30,30,11,60,70,70,20,30,5,55,60,40,1,1,1,60,100,100,30,50,25,20,40,15,80,80,30,77,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,39,Man,Married
2021-12-14T11:50:36Z,2021-12-14T11:57:20Z,IP Address,100,404,TRUE,2021-12-14T11:57:20Z,R_32XazjRdcyjohOv,anonymous,EN,I consent to participate in this study.,20,20,20,80,80,50,30,20,30,80,80,80,20,20,20,30,30,20,30,30,30,60,60,60,20,5,20,5,5,2,40,40,40,5,5,5,50,50,50,5,1,1,30,30,20,3,3,1,70,70,70,10,10,10,5,5,5,80,70,20,77,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,39,Woman,Never married
2021-12-14T11:49:10Z,2021-12-14T11:57:22Z,IP Address,100,492,TRUE,2021-12-14T11:57:22Z,R_3oBeKjwoRnogMHN,anonymous,EN,I consent to participate in this study.,50,5,5,25,9,9,33,5,5,33,5,5,5,1,1,3,1,1,50,25,25,50,50,50,5,5,50,10,1,1,50,99,99,25,75,75,20,66,66,8,1,1,80,99,99,1,50,50,50,50,61,20,20,20,5,5,5,33,50,50,77,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,42,Man,Never married
2021-12-14T11:47:10Z,2021-12-14T11:57:27Z,IP Address,100,617,TRUE,2021-12-14T11:57:28Z,R_d9UCvUtRtFUZkg9,anonymous,EN,I consent to participate in this study.,16,27,44,56,34,64,16,12,15,34,23,16,13,4,5,26,27,27,15,14,26,75,50,34,15,4,30,35,24,47,15,16,32,37,48,38,60,70,70,27,27,4,46,35,37,6,7,2,24,14,16,45,35,13,27,38,36,40,55,30,27,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Strongly disagree,Somewhat agree,26,Man,Never married
2021-12-14T11:46:47Z,2021-12-14T11:57:31Z,IP Address,100,643,TRUE,2021-12-14T11:57:31Z,R_1otG9zKPsOY2rOP,anonymous,EN,I consent to participate in this study.,80,80,76,80,80,41,80,80,31,30,30,18,20,20,17,60,60,26,60,60,40,60,60,45,20,20,65,20,20,3,40,40,82,5,5,11,40,40,58,1,1,3,40,40,22,1,1,1,30,30,61,10,10,16,10,10,9,70,70,23,77,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,44,Man,Never married
2021-12-14T11:49:55Z,2021-12-14T11:57:51Z,IP Address,100,475,TRUE,2021-12-14T11:57:51Z,R_88O6iIhkrowRGQp,anonymous,EN,I consent to participate in this study.,25,0,0,5,5,50,5,5,31,40,40,18,20,20,17,20,20,26,20,20,40,50,0,0,3,3,65,25,25,3,75,100,100,2,2,10,60,75,58,30,0,3,20,0,0,5,5,1,50,100,100,5,0,0,15,0,0,50,50,23,77,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,35,Woman,Married
